Competitor_ID,Vertical_Category,Primary_Skill,Primary_Skill_CPC_USD,Primary_Skill_PPC,#_of_Jobs
A,Development,Python Developers,14.26,45.0,3665.0
A,Development,Python Developers,14.26,45.0,387.0
A,Development,MySQL Developers,25.5,18.0,1007.0
A,Development,MySQL Developers,25.5,18.0,4995.0
A,Development,MySQL Developers,25.5,18.0,4089.0
A,Development,MySQL Developers,25.5,18.0,1795.0
A,Development,MySQL Developers,25.5,18.0,98.0
A,Development,MySQL Developers,25.5,18.0,3798.0
A,Development,MySQL Developers,25.5,18.0,1226.0
A,Development,MySQL Developers,25.5,18.0,2050.0
A,Development,MySQL Developers,25.5,18.0,1876.0
A,Development,MySQL Developers,25.5,18.0,1000.0
A,Development,MySQL Developers,25.5,18.0,3435.0
A,Development,MySQL Developers,25.5,18.0,2912.0
A,Development,Mobile App Developers,51.97,24.0,1448.0
A,Development,Mobile App Developers,51.97,24.0,2708.0
A,Development,Mobile App Developers,51.97,24.0,1077.0
A,Development,Mobile App Developers,51.97,24.0,3969.0
A,Development,Mobile App Developers,51.97,24.0,2993.0
A,Development,Mobile App Developers,51.97,24.0,1318.0
A,Development,Mobile App Developers,51.97,24.0,2722.0
A,Development,Mobile App Developers,51.97,24.0,1634.0
A,Development,Mobile App Developers,51.97,24.0,2026.0
A,Development,Mobile App Developers,51.97,24.0,4946.0
A,Development,Mobile App Developers,51.97,24.0,799.0
A,Development,Mobile App Developers,51.97,24.0,3033.0
A,Development,Magento Developers,63.4,33.0,3541.0
A,Development,Magento Developers,63.4,33.0,1636.0
A,Development,Magento Developers,63.4,33.0,509.0
A,Development,Magento Developers,63.4,33.0,4676.0
A,Development,Magento Developers,63.4,33.0,3177.0
A,Development,Magento Developers,63.4,33.0,62.0
A,Development,Magento Developers,63.4,33.0,1425.0
A,Development,Magento Developers,63.4,33.0,2068.0
A,Development,Magento Developers,63.4,33.0,101.0
A,Development,Magento Developers,63.4,33.0,2737.0
A,Development,Magento Developers,63.4,33.0,577.0
A,Development,Magento Developers,63.4,33.0,3807.0
A,Development,Machine Learning Engineers,17.02,44.0,4364.0
A,Development,Machine Learning Engineers,17.02,44.0,4306.0
A,Development,Machine Learning Engineers,17.02,44.0,252.0
A,Development,Machine Learning Engineers,17.02,44.0,1823.0
A,Development,Machine Learning Engineers,17.02,44.0,2353.0
A,Development,Machine Learning Engineers,17.02,44.0,2981.0
A,Development,Machine Learning Engineers,17.02,44.0,2488.0
A,Development,Machine Learning Engineers,17.02,44.0,2936.0
A,Development,Machine Learning Engineers,17.02,44.0,1607.0
A,Development,Machine Learning Engineers,17.02,44.0,1805.0
A,Development,Machine Learning Engineers,17.02,44.0,498.0
A,Development,Machine Learning Engineers,17.02,44.0,1885.0
A,Development,HTML5 Developers,22.296325668700405,17.0,1692.0
A,Development,HTML5 Developers,22.296325668700405,17.0,3214.0
A,Development,HTML5 Developers,22.296325668700405,17.0,78.0
A,Development,HTML5 Developers,22.296325668700405,17.0,1003.0
A,Development,HTML5 Developers,22.296325668700405,17.0,4335.0
A,Development,HTML5 Developers,22.296325668700405,17.0,523.0
A,Development,HTML5 Developers,22.296325668700405,17.0,1572.0
A,Development,HTML5 Developers,22.296325668700405,17.0,3146.0
A,Development,HTML5 Developers,22.296325668700405,17.0,345.0
A,Development,HTML5 Developers,22.296325668700405,17.0,3317.0
A,Development,HTML5 Developers,22.296325668700405,17.0,4662.0
A,Development,HTML5 Developers,22.296325668700405,17.0,1261.0
A,Development,Golang Developers,57.02,54.0,1645.0
A,Development,Golang Developers,57.02,54.0,684.0
A,Development,Golang Developers,57.02,54.0,4827.0
A,Development,Golang Developers,57.02,54.0,694.0
A,Development,Golang Developers,57.02,54.0,155.0
A,Development,Golang Developers,57.02,54.0,770.0
A,Development,Golang Developers,57.02,54.0,1192.0
A,Development,Golang Developers,57.02,54.0,4003.0
A,Development,Golang Developers,57.02,54.0,4872.0
A,Development,Golang Developers,57.02,54.0,3935.0
A,Development,Golang Developers,57.02,54.0,1054.0
A,Development,Golang Developers,57.02,54.0,2141.0
A,Development,Game Developers,12.18,33.0,1201.0
A,Development,Game Developers,12.18,33.0,2879.0
A,Development,Game Developers,12.18,33.0,1383.0
A,Development,Game Developers,12.18,33.0,937.0
A,Development,Game Developers,12.18,33.0,141.0
A,Development,Game Developers,12.18,33.0,3157.0
A,Development,Game Developers,12.18,33.0,2042.0
A,Development,Game Developers,12.18,33.0,2887.0
A,Development,Game Developers,12.18,33.0,1779.0
A,Development,Game Developers,12.18,33.0,668.0
A,Development,Game Developers,12.18,33.0,4719.0
A,Development,Game Developers,12.18,33.0,601.0
A,Development,Full Stack Developers,19.51,49.0,203.0
A,Development,Full Stack Developers,19.51,49.0,3865.0
A,Development,Full Stack Developers,19.51,49.0,107.0
A,Development,Full Stack Developers,19.51,49.0,750.0
A,Development,Full Stack Developers,19.51,49.0,2488.0
A,Development,Full Stack Developers,19.51,49.0,3415.0
A,Development,Full Stack Developers,19.51,49.0,3905.0
A,Development,Full Stack Developers,19.51,49.0,728.0
A,Development,Full Stack Developers,19.51,49.0,1771.0
A,Development,Full Stack Developers,19.51,49.0,4607.0
A,Development,Full Stack Developers,19.51,49.0,268.0
A,Development,Full Stack Developers,19.51,49.0,3894.0
A,Development,Front End Developers,19.17,37.0,3440.0
A,Development,Front End Developers,19.17,37.0,4484.0
A,Development,Front End Developers,19.17,37.0,2892.0
A,Development,Front End Developers,19.17,37.0,4318.0
A,Development,Front End Developers,19.17,37.0,211.0
A,Development,Front End Developers,19.17,37.0,4785.0
A,Development,Front End Developers,19.17,37.0,1491.0
A,Development,Front End Developers,19.17,37.0,2219.0
A,Development,Front End Developers,19.17,37.0,4839.0
A,Development,Front End Developers,19.17,37.0,4873.0
A,Development,Front End Developers,19.17,37.0,1870.0
A,Development,Front End Developers,19.17,37.0,2823.0
A,Development,eCommerce Developers,26.64,23.0,91.0
A,Development,eCommerce Developers,26.64,23.0,4732.0
A,Development,eCommerce Developers,26.64,23.0,4291.0
A,Development,eCommerce Developers,26.64,23.0,3361.0
A,Development,eCommerce Developers,26.64,23.0,2445.0
A,Development,eCommerce Developers,26.64,23.0,2562.0
A,Development,eCommerce Developers,26.64,23.0,4700.0
A,Development,eCommerce Developers,26.64,23.0,737.0
A,Development,eCommerce Developers,26.64,23.0,1235.0
A,Development,eCommerce Developers,26.64,23.0,4088.0
A,Development,eCommerce Developers,26.64,23.0,3471.0
A,Development,eCommerce Developers,26.64,23.0,1159.0
A,Development,DevOps Engineers,21.04,35.0,632.0
A,Development,DevOps Engineers,21.04,35.0,1725.0
A,Development,DevOps Engineers,21.04,35.0,686.0
A,Development,DevOps Engineers,21.04,35.0,2500.0
A,Development,DevOps Engineers,21.04,35.0,1104.0
A,Development,DevOps Engineers,21.04,35.0,733.0
A,Development,DevOps Engineers,21.04,35.0,869.0
A,Development,DevOps Engineers,21.04,35.0,186.0
A,Development,DevOps Engineers,21.04,35.0,2119.0
A,Development,DevOps Engineers,21.04,35.0,2278.0
A,Development,DevOps Engineers,21.04,35.0,3600.0
A,Development,DevOps Engineers,21.04,35.0,3579.0
A,Development,Developers,5.88,20.0,645.0
A,Development,Developers,5.88,20.0,3811.0
A,Development,Developers,5.88,20.0,4362.0
A,Development,Developers,5.88,20.0,1641.0
A,Development,Developers,5.88,20.0,4580.0
A,Development,Developers,5.88,20.0,1377.0
A,Development,Developers,5.88,20.0,2546.0
A,Development,Developers,5.88,20.0,3936.0
A,Development,Developers,5.88,20.0,2012.0
A,Development,Developers,5.88,20.0,721.0
A,Development,Developers,5.88,20.0,604.0
A,Development,Developers,5.88,20.0,1838.0
A,Development,Data Visualization Consultants,25.22,29.0,634.0
A,Development,Data Visualization Consultants,25.22,29.0,4776.0
A,Development,Data Visualization Consultants,25.22,29.0,4902.0
A,Development,Data Visualization Consultants,25.22,29.0,3420.0
A,Development,Data Visualization Consultants,25.22,29.0,2780.0
A,Development,Data Visualization Consultants,25.22,29.0,3889.0
A,Development,Data Visualization Consultants,25.22,29.0,4986.0
A,Development,Data Visualization Consultants,25.22,29.0,903.0
A,Development,Data Visualization Consultants,25.22,29.0,3932.0
A,Development,Data Visualization Consultants,25.22,29.0,2280.0
A,Development,Data Visualization Consultants,25.22,29.0,3452.0
A,Development,Data Visualization Consultants,25.22,29.0,4765.0
A,Development,Data Analysts,17.73,45.0,2501.0
A,Development,Data Analysts,17.73,45.0,4927.0
A,Development,Data Analysts,17.73,45.0,4107.0
A,Development,Data Analysts,17.73,45.0,559.0
A,Development,Data Analysts,17.73,45.0,529.0
A,Development,Data Analysts,17.73,45.0,2548.0
A,Development,Data Analysts,17.73,45.0,546.0
A,Development,Data Analysts,17.73,45.0,1194.0
A,Development,Data Analysts,17.73,45.0,3765.0
A,Development,Data Analysts,17.73,45.0,4393.0
A,Development,Data Analysts,17.73,45.0,1559.0
A,Development,Data Analysts,17.73,45.0,1085.0
A,Development,CSS Developers,29.91,33.0,478.0
A,Development,CSS Developers,29.91,33.0,4112.0
A,Development,CSS Developers,29.91,33.0,3750.0
A,Development,CSS Developers,29.91,33.0,1786.0
A,Development,CSS Developers,29.91,33.0,1153.0
A,Development,CSS Developers,29.91,33.0,2153.0
A,Development,CSS Developers,29.91,33.0,4760.0
A,Development,CSS Developers,29.91,33.0,3779.0
A,Development,CSS Developers,29.91,33.0,1483.0
A,Development,CSS Developers,29.91,33.0,350.0
A,Development,CSS Developers,29.91,33.0,3542.0
A,Development,CSS Developers,29.91,33.0,4201.0
A,Development,C++ Developers,10.73,26.0,2637.0
A,Development,C++ Developers,10.73,26.0,4289.0
A,Development,C++ Developers,10.73,26.0,1445.0
A,Development,C++ Developers,10.73,26.0,1557.0
A,Development,C++ Developers,10.73,26.0,2128.0
A,Development,C++ Developers,10.73,26.0,2615.0
A,Development,C++ Developers,10.73,26.0,4725.0
A,Development,C++ Developers,10.73,26.0,365.0
A,Development,C++ Developers,10.73,26.0,4438.0
A,Development,C++ Developers,10.73,26.0,3894.0
A,Development,C++ Developers,10.73,26.0,618.0
A,Development,C++ Developers,10.73,26.0,1461.0
A,Development,C# Developers,55.29,26.0,3787.0
A,Development,C# Developers,55.29,26.0,2053.0
A,Development,C# Developers,55.29,26.0,4843.0
A,Development,C# Developers,55.29,26.0,2096.0
A,Development,C# Developers,55.29,26.0,1335.0
A,Development,C# Developers,55.29,26.0,4186.0
A,Development,C# Developers,55.29,26.0,4387.0
A,Development,C# Developers,55.29,26.0,4295.0
A,Development,C# Developers,55.29,26.0,1472.0
A,Development,C# Developers,55.29,26.0,1540.0
A,Development,C# Developers,55.29,26.0,3733.0
A,Development,C# Developers,55.29,26.0,55.0
A,Development,AWS Developers,16.81,41.0,855.0
A,Development,AWS Developers,16.81,41.0,3858.0
A,Development,AWS Developers,16.81,41.0,2982.0
A,Development,AWS Developers,16.81,41.0,2645.0
A,Development,AWS Developers,16.81,41.0,61.0
A,Development,AWS Developers,16.81,41.0,876.0
A,Development,AWS Developers,16.81,41.0,4872.0
A,Development,AWS Developers,16.81,41.0,221.0
A,Development,AWS Developers,16.81,41.0,1041.0
A,Development,AWS Developers,16.81,41.0,603.0
A,Development,AWS Developers,16.81,41.0,1605.0
A,Development,AWS Developers,16.81,41.0,4849.0
A,Development,AngularJS Developers,177.2,48.0,3740.0
A,Development,AngularJS Developers,177.2,48.0,4240.0
A,Development,AngularJS Developers,177.2,48.0,348.0
A,Development,AngularJS Developers,177.2,48.0,3883.0
A,Development,AngularJS Developers,177.2,48.0,2561.0
A,Development,AngularJS Developers,177.2,48.0,123.0
A,Development,AngularJS Developers,177.2,48.0,4202.0
A,Development,AngularJS Developers,177.2,48.0,3923.0
A,Development,AngularJS Developers,177.2,48.0,2638.0
A,Development,AngularJS Developers,177.2,48.0,437.0
A,Development,AngularJS Developers,177.2,48.0,2398.0
A,Development,AngularJS Developers,177.2,48.0,2957.0
A,Other,2D Animators,5.52,19.0,2367.0
A,Other,2D Animators,5.52,19.0,4201.0
A,Other,2D Animators,5.52,19.0,271.0
A,Other,2D Animators,5.52,19.0,1340.0
A,Other,2D Animators,5.52,19.0,1817.0
A,Other,2D Animators,5.52,19.0,2414.0
A,Other,2D Animators,5.52,19.0,1053.0
A,Other,2D Animators,5.52,19.0,3859.0
A,Other,2D Animators,5.52,19.0,2241.0
A,Other,2D Animators,5.52,19.0,2577.0
A,Other,2D Animators,5.52,19.0,2041.0
A,Other,2D Animators,5.52,19.0,2154.0
A,Other,3D Designers,6.97,42.0,4277.0
A,Other,3D Designers,6.97,42.0,4238.0
A,Other,3D Designers,6.97,42.0,3178.0
A,Other,3D Designers,6.97,42.0,4515.0
A,Other,3D Designers,6.97,42.0,1893.0
A,Other,3D Designers,6.97,42.0,4609.0
A,Other,3D Designers,6.97,42.0,974.0
A,Other,3D Designers,6.97,42.0,4031.0
A,Other,3D Designers,6.97,42.0,648.0
A,Other,3D Designers,6.97,42.0,4398.0
A,Other,3D Designers,6.97,42.0,4989.0
A,Other,3D Designers,6.97,42.0,119.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,2455.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,3176.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,3230.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,3999.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,4488.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,1041.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,921.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,4616.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,2530.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,4140.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,545.0
A,Other,Amazon FBA Specialists,21.89184397163118,71.0,3031.0
A,Other,Conversion Rate Optimizers,24.63,38.0,3685.0
A,Other,Conversion Rate Optimizers,24.63,38.0,703.0
A,Other,Conversion Rate Optimizers,24.63,38.0,3225.0
A,Other,Conversion Rate Optimizers,24.63,38.0,1296.0
A,Other,Conversion Rate Optimizers,24.63,38.0,150.0
A,Other,Conversion Rate Optimizers,24.63,38.0,1358.0
A,Other,Conversion Rate Optimizers,24.63,38.0,3738.0
A,Other,Conversion Rate Optimizers,24.63,38.0,4834.0
A,Other,Conversion Rate Optimizers,24.63,38.0,4141.0
A,Other,Conversion Rate Optimizers,24.63,38.0,3525.0
A,Other,Conversion Rate Optimizers,24.63,38.0,2963.0
A,Other,Conversion Rate Optimizers,24.63,38.0,1657.0
A,Other,Copywriters,7.59,23.0,270.0
A,Other,Copywriters,7.59,23.0,3086.0
A,Other,Copywriters,7.59,23.0,2784.0
A,Other,Copywriters,7.59,23.0,1451.0
A,Other,Copywriters,7.59,23.0,3794.0
A,Other,Copywriters,7.59,23.0,4044.0
A,Other,Copywriters,7.59,23.0,4010.0
A,Other,Copywriters,7.59,23.0,3616.0
A,Other,Copywriters,7.59,23.0,3725.0
A,Other,Copywriters,7.59,23.0,2261.0
A,Other,Copywriters,7.59,23.0,3125.0
A,Other,Copywriters,7.59,23.0,4404.0
A,Other,Data Entry Specialists,2.4,18.0,785.0
A,Other,Data Entry Specialists,2.4,18.0,2970.0
A,Other,Data Entry Specialists,2.4,18.0,3321.0
A,Other,Data Entry Specialists,2.4,18.0,792.0
A,Other,Data Entry Specialists,2.4,18.0,4726.0
A,Other,Data Entry Specialists,2.4,18.0,3990.0
A,Other,Data Entry Specialists,2.4,18.0,4640.0
A,Other,Data Entry Specialists,2.4,18.0,1714.0
A,Other,Data Entry Specialists,2.4,18.0,1090.0
A,Other,Data Entry Specialists,2.4,18.0,1663.0
A,Other,Data Entry Specialists,2.4,18.0,1667.0
A,Other,Data Entry Specialists,2.4,18.0,1134.0
A,Other,Data Scrapers,13.71,37.0,273.0
A,Other,Data Scrapers,13.71,37.0,221.0
A,Other,Data Scrapers,13.71,37.0,601.0
A,Other,Data Scrapers,13.71,37.0,1837.0
A,Other,Data Scrapers,13.71,37.0,2167.0
A,Other,Data Scrapers,13.71,37.0,2185.0
A,Other,Data Scrapers,13.71,37.0,450.0
A,Other,Data Scrapers,13.71,37.0,4482.0
A,Other,Data Scrapers,13.71,37.0,1124.0
A,Other,Data Scrapers,13.71,37.0,2446.0
A,Other,Data Scrapers,13.71,37.0,267.0
A,Other,Data Scrapers,13.71,37.0,2410.0
A,Other,Database Programmers,24.65,27.0,278.0
A,Other,Database Programmers,24.65,27.0,2099.0
A,Other,Database Programmers,24.65,27.0,1415.0
A,Other,Database Programmers,24.65,27.0,4642.0
A,Other,Database Programmers,24.65,27.0,289.0
A,Other,Database Programmers,24.65,27.0,4941.0
A,Other,Database Programmers,24.65,27.0,223.0
A,Other,Database Programmers,24.65,27.0,2452.0
A,Other,Database Programmers,24.65,27.0,539.0
A,Other,Database Programmers,24.65,27.0,4391.0
A,Other,Database Programmers,24.65,27.0,2309.0
A,Other,Database Programmers,24.65,27.0,2991.0
A,Other,Digital Marketers,21.18,39.0,983.0
A,Other,Digital Marketers,21.18,39.0,1856.0
A,Other,Digital Marketers,21.18,39.0,463.0
A,Other,Digital Marketers,21.18,39.0,3198.0
A,Other,Digital Marketers,21.18,39.0,4979.0
A,Other,Digital Marketers,21.18,39.0,4241.0
A,Other,Digital Marketers,21.18,39.0,2805.0
A,Other,Digital Marketers,21.18,39.0,1876.0
A,Other,Digital Marketers,21.18,39.0,2612.0
A,Other,Digital Marketers,21.18,39.0,3044.0
A,Other,Digital Marketers,21.18,39.0,2776.0
A,Other,Digital Marketers,21.18,39.0,3919.0
A,Other,Graphic Designers,9.22,31.0,95.0
A,Other,Graphic Designers,9.22,31.0,482.0
A,Other,Graphic Designers,9.22,31.0,1268.0
A,Other,Graphic Designers,9.22,31.0,2251.0
A,Other,Graphic Designers,9.22,31.0,4300.0
A,Other,Graphic Designers,9.22,31.0,4738.0
A,Other,Graphic Designers,9.22,31.0,116.0
A,Other,Graphic Designers,9.22,31.0,301.0
A,Other,Graphic Designers,9.22,31.0,1536.0
A,Other,Graphic Designers,9.22,31.0,934.0
A,Other,Graphic Designers,9.22,31.0,4156.0
A,Other,Graphic Designers,9.22,31.0,1265.0
A,Other,Microsoft Access Consultants,32.98,63.0,1893.0
A,Other,Microsoft Access Consultants,32.98,63.0,2215.0
A,Other,Microsoft Access Consultants,32.98,63.0,1807.0
A,Other,Microsoft Access Consultants,32.98,63.0,4198.0
A,Other,Microsoft Access Consultants,32.98,63.0,207.0
A,Other,Microsoft Access Consultants,32.98,63.0,2091.0
A,Other,Microsoft Access Consultants,32.98,63.0,1203.0
A,Other,Microsoft Access Consultants,32.98,63.0,1767.0
A,Other,Microsoft Access Consultants,32.98,63.0,516.0
A,Other,Microsoft Access Consultants,32.98,63.0,3036.0
A,Other,Microsoft Access Consultants,32.98,63.0,955.0
A,Other,Microsoft Access Consultants,32.98,63.0,24.0
A,Other,Network Engineers,9.18,16.0,4696.0
A,Other,Network Engineers,9.18,16.0,4684.0
A,Other,Network Engineers,9.18,16.0,528.0
A,Other,Network Engineers,9.18,16.0,2000.0
A,Other,Network Engineers,9.18,16.0,1150.0
A,Other,Network Engineers,9.18,16.0,744.0
A,Other,Network Engineers,9.18,16.0,1282.0
A,Other,Network Engineers,9.18,16.0,3803.0
A,Other,Network Engineers,9.18,16.0,1845.0
A,Other,Network Engineers,9.18,16.0,3157.0
A,Other,Network Engineers,9.18,16.0,4453.0
A,Other,Network Engineers,9.18,16.0,4892.0
A,Other,Power BI Consultants,91.82,71.0,772.0
A,Other,Power BI Consultants,91.82,71.0,4867.0
A,Other,Power BI Consultants,91.82,71.0,2273.0
A,Other,Power BI Consultants,91.82,71.0,2904.0
A,Other,Power BI Consultants,91.82,71.0,2929.0
