Competitor ID,Vertical Category,Primary Skill, Primary Skill Avg. Search Volume (12 mo),Primary Skill Avg. Search Volume (6 mo),Primary Skill Avg. Search Volume (3 mo),Primary Skill CPC/USD,Primary Skill PPC,Primary Skill Keyword Difficulty,Related Skill,Related Skill Avg. Search Volume (12 mo),Primary Skill Avg. Search Volume (6 mo),Related Skill Avg. Search Volume (3 mo),Related Skill CPC/USD,Related Skill PPC,Related Skill Keyword Difficulty,# of Jobs
A,Development,Unity 3D Developers,40.00,40.00,40.00,28.27,46.00,46.00,3D Freelancers,50.00,40.00,40.00,3.51,49.00,,2743.00
A,Development,Unity 3D Developers,40.00,40.00,40.00,28.27,46.00,46.00,C# Developers & Programmers,,,,,,,4319.00
A,Development,Unity 3D Developers,40.00,40.00,40.00,28.27,46.00,46.00,Unreal Engine Developers,230.00,300.00,280.00,35.42,50.00,,248.00
A,Development,Unity 3D Developers,40.00,40.00,40.00,28.27,46.00,46.00,Augmented Reality Developers,130.00,130.00,150.00,18.37,24.00,41.00,3322.00
A,Development,Unity 3D Developers,40.00,40.00,40.00,28.27,46.00,46.00,Cocos2d Developers,10.00,10.00,10.00,,14.00,,2949.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Web Testing Specialists,,,,,,,1727.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Automated Testing Specialists,,,,,,,1008.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Mobile App Testers,550.00,500.00,480.00,24.75,46.00,,672.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Manual Test Execution Specialists,,,,,,,2226.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Selenium Developers,30.00,20.00,30.00,19.39,29.00,,2627.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Usability Testing Specialists,,,,,,,4141.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Software Testers,30.00,30.00,40.00,11.70,39.00,33.00,1318.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Performance Testing Specialists,,,,,,,971.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Functional Testing Specialists,,,,,,33.00,4398.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,QA Engineers,6400.00,7300.00,7100.00,7.43,23.00,42.00,2098.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Black Box Testers,4000.00,4000.00,4100.00,,1.00,,3235.00
A,Development,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,Bug Tester,180.00,170.00,160.00,5.67,18.00,,3285.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Software Debuggers,200.00,200.00,190.00,23.19,36.00,,854.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Penetration Testers,140.00,140.00,150.00,45.43,46.00,47.00,1026.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Manual Test Execution Specialists,,,,,,,4167.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Functional Testing Specialists,,,,,,33.00,1175.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Mobile App Testers,550.00,500.00,480.00,24.75,46.00,,1399.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Automated Testing Specialists,,,,,,,316.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Performance Testing Specialists,,,,,,,3835.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Black Box Testers,4000.00,4000.00,4100.00,,1.00,,4079.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Software QA Testers,760.00,770.00,820.00,13.18,37.00,,2610.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,QA Engineers,6400.00,7300.00,7100.00,7.43,23.00,42.00,479.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Bug Tester,180.00,170.00,160.00,5.67,18.00,,2354.00
A,Development,Software Developers,32700.00,32100.00,33100.00,27.94,40.00,53.00,Web Testing Specialists,,,,,,,4748.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,Woocommerce Developers,290.00,300.00,300.00,65.48,38.00,38.00,2780.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,HTML Developers,200.00,190.00,190.00,9.90,31.00,31.00,4017.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,WordPress Developers,4300.00,5400.00,6300.00,46.47,32.00,60.00,1856.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,CSS Developers,90.00,90.00,80.00,29.91,33.00,,1692.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,Dropshippers,4700.00,4300.00,4000.00,24.05,47.00,60.00,155.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,SquareSpace Developers,90.00,70.00,70.00,42.47,49.00,31.00,762.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,Ecommerce Consultants,880.00,850.00,820.00,24.12,34.00,38.00,1122.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,Web Designers,10700.00,10900.00,10200.00,22.33,36.00,50.00,4136.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,Shopify Templates Specialists,,,,,,,2463.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,HTML5 Developers,70.00,60.00,70.00,,17.00,41.00,4149.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,404.00
A,Development,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,AliExpress Specialists,,,,,,,1471.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,SQLite Developers,30.00,50.00,40.00,,5.00,,4422.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,Pyspark Freelancers,,,,,,,3704.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,Apache Freelancers,,,,,,,531.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,Akka Specialists,,,,,,,918.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,Kotlin Developers,110.00,110.00,110.00,18.02,25.00,,784.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,NativeScript Specialists,,,,,,,154.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,Ruby Developers & Programmers,,,,,,,1816.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,Apache Spark Engineers,,,,,,,260.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,HAML Specialists,,,,,,,719.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,Apache Zeppelin Specialists,,,,,,,102.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,Smart Contracts Developers,320.00,430.00,560.00,51.45,68.00,,4229.00
A,Development,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,Web Services Specialists,,,,,,,579.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,Consensus Specialists,,,,,,,4453.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,Steam API Developers,,,,,,,186.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,825.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,Haskell Developers & Programmers,,,,,,,3498.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,Godot Freelancers,,,,,,,36.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,Erlang Developers & Programmers,,,,,,,2165.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,Solidity Freelancers,,,,,,,1357.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,Webassembly Freelancers,,,,,,,2370.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,Qt Developers,180.00,160.00,170.00,10.43,9.00,,2331.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,EOS Freelancers,,,,,,,407.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,Blockchain Developers,1300.00,1400.00,1400.00,,,46.00,2761.00
A,Development,Rust Developers,560.00,450.00,480.00,15.98,15.00,,TRON Freelancers,,,,,,,2680.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,Sinatra Framework Developers,,,,,,,2821.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,RSpec Specialists,,,,,,,1115.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,Spree Specialists,,,,,,,2003.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,Capistrano Developers,,,,,,,3693.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,Redmine Specialists,,,,,,,1477.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,Sharetribe Specialists,,,,,,,4291.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,Django Developers,390.00,390.00,360.00,64.69,31.00,37.00,600.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,Heroku Specialists,,,,,,,608.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,PostgreSQL Developers & DBA,,,,,,,2726.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,PostgreSQL Programmers,,,,,,,3849.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,Ruby Developers & Programmers,,,,,,,3249.00
A,Development,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,Marionette.js Developers,,,,,,,4749.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,Spree Specialists,,,,,,,4589.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,Sinatra Framework Developers,,,,,,,4372.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,HAML Specialists,,,,,,,644.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,Heroku Specialists,,,,,,,3424.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,Ruby on Rails Developers,470.00,480.00,510.00,274.16,37.00,21.00,4382.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,Redmine Specialists,,,,,,,4320.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,Git Developers,70.00,120.00,100.00,,4.00,,3662.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,AJAX Developers,10.00,10.00,10.00,,11.00,,470.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,Scala Developers,160.00,150.00,150.00,17.13,27.00,29.00,803.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,PostgreSQL Programmers,,,,,,,4812.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,Django Developers,390.00,390.00,360.00,64.69,31.00,37.00,3193.00
A,Development,Ruby Developers,340.00,320.00,340.00,15.18,23.00,26.00,PostgreSQL Developers & DBA,,,,,,,4492.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,Flutter Developers,700.00,800.00,770.00,58.97,56.00,29.00,562.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,Firebase Specialists,,,,,,,1095.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,Node.js Developers & Programmers,,,,,,,660.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,iOS Developers,80.00,80.00,80.00,18.87,37.00,47.00,2846.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,Ionic Framework Developers,10.00,10.00,10.00,,2.00,30.00,3201.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,Swift Developers,520.00,480.00,480.00,25.92,33.00,,4728.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,Android App Developers,3300.00,3100.00,3100.00,12.29,34.00,60.00,537.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,1388.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,Gatsby Developers,30.00,30.00,20.00,31.73,46.00,,57.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,React.js Developers,200.00,190.00,190.00,94.28,45.00,34.00,4109.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,Android Developers,520.00,510.00,540.00,7.18,31.00,62.00,1278.00
A,Development,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,Objective-C Developers,10.00,10.00,10.00,,5.00,,3317.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,Flask Developers & Programmers,,,,,,,2868.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,Xero Developer,210.00,200.00,210.00,4.87,4.00,,3212.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,Machine Learning Experts,110.00,110.00,130.00,12.37,34.00,30.00,932.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,C++ Programmers & Developers,,,,,,,3678.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,AWS Developers,40.00,40.00,30.00,16.81,41.00,59.00,4212.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,C# Developers & Programmers,,,,,,,4818.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,Data Scrapers,50.00,40.00,50.00,13.71,37.00,44.00,3207.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,Node.js Developers & Programmers,,,,,,,698.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,Java Developers,120.00,120.00,120.00,13.29,36.00,49.00,101.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,R Developers & Programmers,,,,,,,3347.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,TensorFlow Developers,80.00,100.00,110.00,2.25,35.00,45.00,3665.00
A,Development,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,Django Developers,390.00,390.00,360.00,64.69,31.00,37.00,387.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,jQuery Developers,40.00,50.00,60.00,5.68,4.00,,1007.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,MySQL Programmers,50.00,50.00,60.00,5.97,24.00,,4995.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,HTML5 Developers,70.00,60.00,70.00,,17.00,41.00,4089.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,PHP Developers,160.00,160.00,180.00,165.30,26.00,41.00,1795.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,Xero Developer,210.00,200.00,210.00,4.87,4.00,,98.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,CSS3 Developers,10.00,10.00,10.00,,6.00,,3798.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,Bootstrap Specialists,,,,,,,1226.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,CSS Developers,90.00,90.00,80.00,29.91,33.00,,2050.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,Java Developers,120.00,120.00,120.00,13.29,36.00,49.00,1876.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,HTML Developers,200.00,190.00,190.00,9.90,31.00,31.00,1000.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,JavaScript Developers,730.00,690.00,720.00,53.18,35.00,38.00,3435.00
A,Development,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,SQL Developers,50.00,40.00,40.00,5.41,2.00,37.00,2912.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,Ionic Framework Developers,10.00,10.00,10.00,,2.00,30.00,1448.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,React Native Developers,420.00,400.00,390.00,131.87,47.00,32.00,2708.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,iOS Developers,80.00,80.00,80.00,18.87,37.00,47.00,1077.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,Swift Developers,520.00,480.00,480.00,25.92,33.00,,3969.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,Android App Developers,3300.00,3100.00,3100.00,12.29,34.00,60.00,2993.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,Objective-C Developers,10.00,10.00,10.00,,5.00,,1318.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,Flutter Developers,700.00,800.00,770.00,58.97,56.00,29.00,2722.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,Android Developers,520.00,510.00,540.00,7.18,31.00,62.00,1634.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,Firebase Specialists,,,,,,,2026.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,iPad App Developers,10.00,10.00,10.00,36.57,7.00,,4946.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,Apple Xcode Specialists,,,,,,,799.00
A,Development,Mobile App Developers,460.00,350.00,350.00,51.97,24.00,58.00,Java Developers,120.00,120.00,120.00,13.29,36.00,49.00,3033.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,Ecommerce Consultants,880.00,850.00,820.00,24.12,34.00,38.00,3541.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,OpenCart Developers,30.00,30.00,30.00,44.17,40.00,,1636.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,Art Deco Freelancers,,,,,,,509.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,Magento 2 Developers,150.00,140.00,160.00,51.12,20.00,25.00,4676.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,Shopify Developers,4200.00,4000.00,3800.00,18.70,59.00,40.00,3177.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,Ecommerce Web Designer,530.00,610.00,620.00,34.14,17.00,54.00,62.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,SquareSpace Developers,90.00,70.00,70.00,42.47,49.00,31.00,1425.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,PrestaShop Developers,40.00,40.00,50.00,18.08,67.00,33.00,2068.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,Woocommerce Developers,290.00,300.00,300.00,65.48,38.00,38.00,101.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,MySQL Developers,240.00,270.00,240.00,25.50,18.00,47.00,2737.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,Shopify Templates Specialists,,,,,,,577.00
A,Development,Magento Developers,920.00,770.00,770.00,63.40,33.00,40.00,BigCommerce Developers,460.00,360.00,360.00,53.54,45.00,,3807.00
A,Development,Machine Learning Engineers,5300.00,5400.00,5400.00,17.02,44.00,,Computer Vision Engineers,450.00,460.00,450.00,24.56,23.00,,4364.00
A,Development,Machine Learning Engineers,5300.00,5400.00,5400.00,17.02,44.00,,AI Freelancers,40.00,30.00,30.00,30.63,29.00,,4306.00
A,Development,Machine Learning Engineers,5300.00,5400.00,5400.00,17.02,44.00,,TensorFlow Developers,80.00,100.00,110.00,2.25,35.00,45.00,252.00
A,Development,Machine Learning Engineers,5300.00,5400.00,5400.00,17.02,44.00,,PyTorch Freelancers,,,,,,,1823.00
A,Development,Machine Learning Engineers,5300.00,5400.00,5400.00,17.02,44.00,,Python Developers,230.00,230.00,220.00,14.26,45.00,36.00,2353.00
A,Development,Machine Learning Engineers,5300.00,5400.00,5400.00,17.02,44.00,,Artificial Intelligence Engineers,850.00,1000.00,770.00,15.83,41.00,35.00,2981.00
A,Development,Machine Learning Engineers,5300.00,5400.00,5400.00,17.02,44.00,,Artificial Neural Networks Experts,,,,,,,2488.00
A,Development,Machine Learning Engineers,5300.00,5400.00,5400.00,17.02,44.00,,Natural Language Processing Specialists,10.00,10.00,10.00,,0.00,,2936.00
A,Development,Machine Learning Engineers,5300.00,5400.00,5400.00,17.02,44.00,,Keras Freelancers,,,,,,,1607.00
