Competitor_ID,Vertical_Category,Primary_Skill,Primary_Skill_CPC_USD,Primary_Skill_PPC,Related_Skill,Related_Skill_CPC_USD,Related_Skill_PPC,#_of_Jobs
A,Development,Software QA Testers,13.18,37.0,Mobile App Testers,24.75,46.0,672.0
A,Development,Software QA Testers,13.18,37.0,Manual Test Execution Specialists,24.82042253521132,24.82042253521132,2226.0
A,Development,Software QA Testers,13.18,37.0,Selenium Developers,19.39,29.0,2627.0
A,Development,Software QA Testers,13.18,37.0,Usability Testing Specialists,24.82042253521132,24.82042253521132,4141.0
A,Development,Software QA Testers,13.18,37.0,Software Testers,11.7,39.0,1318.0
A,Development,Software QA Testers,13.18,37.0,Performance Testing Specialists,24.82042253521132,24.82042253521132,971.0
A,Development,Software QA Testers,13.18,37.0,Functional Testing Specialists,24.82042253521132,24.82042253521132,4398.0
A,Development,Software QA Testers,13.18,37.0,QA Engineers,7.43,23.0,2098.0
A,Development,Software QA Testers,13.18,37.0,Black Box Testers,24.82042253521132,1.0,3235.0
A,Development,Software QA Testers,13.18,37.0,Bug Tester,5.67,18.0,3285.0
A,Development,Software Developers,27.94,40.0,Software Debuggers,23.19,36.0,854.0
A,Development,Software Developers,27.94,40.0,Penetration Testers,45.43,46.0,1026.0
A,Development,Software Developers,27.94,40.0,Manual Test Execution Specialists,24.82042253521132,24.82042253521132,4167.0
A,Development,Software Developers,27.94,40.0,Functional Testing Specialists,24.82042253521132,24.82042253521132,1175.0
A,Development,Software Developers,27.94,40.0,Mobile App Testers,24.75,46.0,1399.0
A,Development,Software Developers,27.94,40.0,Automated Testing Specialists,24.82042253521132,24.82042253521132,316.0
A,Development,Software Developers,27.94,40.0,Performance Testing Specialists,24.82042253521132,24.82042253521132,3835.0
A,Development,Software Developers,27.94,40.0,Black Box Testers,24.82042253521132,1.0,4079.0
A,Development,Software Developers,27.94,40.0,Software QA Testers,13.18,37.0,2610.0
A,Development,Software Developers,27.94,40.0,QA Engineers,7.43,23.0,479.0
A,Development,Software Developers,27.94,40.0,Bug Tester,5.67,18.0,2354.0
A,Development,Software Developers,27.94,40.0,Web Testing Specialists,24.82042253521132,24.82042253521132,4748.0
A,Development,Shopify Developers,18.7,59.0,Woocommerce Developers,65.48,38.0,2780.0
A,Development,Shopify Developers,18.7,59.0,HTML Developers,9.9,31.0,4017.0
A,Development,Shopify Developers,18.7,59.0,WordPress Developers,46.47,32.0,1856.0
A,Development,Shopify Developers,18.7,59.0,CSS Developers,29.91,33.0,1692.0
A,Development,Shopify Developers,18.7,59.0,Dropshippers,24.05,47.0,155.0
A,Development,Shopify Developers,18.7,59.0,SquareSpace Developers,42.47,49.0,762.0
A,Development,Shopify Developers,18.7,59.0,Ecommerce Consultants,24.12,34.0,1122.0
A,Development,Shopify Developers,18.7,59.0,Web Designers,22.33,36.0,4136.0
A,Development,Shopify Developers,18.7,59.0,Shopify Templates Specialists,24.82042253521132,24.82042253521132,2463.0
A,Development,Shopify Developers,18.7,59.0,HTML5 Developers,24.82042253521132,17.0,4149.0
A,Development,Shopify Developers,18.7,59.0,Magento Developers,63.4,33.0,404.0
A,Development,Shopify Developers,18.7,59.0,AliExpress Specialists,24.82042253521132,24.82042253521132,1471.0
A,Development,Scala Developers,17.13,27.0,SQLite Developers,24.82042253521132,5.0,4422.0
A,Development,Scala Developers,17.13,27.0,Pyspark Freelancers,24.82042253521132,24.82042253521132,3704.0
A,Development,Scala Developers,17.13,27.0,Apache Freelancers,24.82042253521132,24.82042253521132,531.0
A,Development,Scala Developers,17.13,27.0,Akka Specialists,24.82042253521132,24.82042253521132,918.0
A,Development,Scala Developers,17.13,27.0,Kotlin Developers,18.02,25.0,784.0
A,Development,Scala Developers,17.13,27.0,NativeScript Specialists,24.82042253521132,24.82042253521132,154.0
A,Development,Scala Developers,17.13,27.0,Ruby Developers & Programmers,24.82042253521132,24.82042253521132,1816.0
A,Development,Scala Developers,17.13,27.0,Apache Spark Engineers,24.82042253521132,24.82042253521132,260.0
A,Development,Scala Developers,17.13,27.0,HAML Specialists,24.82042253521132,24.82042253521132,719.0
A,Development,Scala Developers,17.13,27.0,Apache Zeppelin Specialists,24.82042253521132,24.82042253521132,102.0
A,Development,Scala Developers,17.13,27.0,Smart Contracts Developers,51.45,68.0,4229.0
A,Development,Scala Developers,17.13,27.0,Web Services Specialists,24.82042253521132,24.82042253521132,579.0
A,Development,Rust Developers,15.98,15.0,Consensus Specialists,24.82042253521132,24.82042253521132,4453.0
A,Development,Rust Developers,15.98,15.0,Steam API Developers,24.82042253521132,24.82042253521132,186.0
A,Development,Rust Developers,15.98,15.0,Python Developers,14.26,45.0,825.0
A,Development,Rust Developers,15.98,15.0,Haskell Developers & Programmers,24.82042253521132,24.82042253521132,3498.0
A,Development,Rust Developers,15.98,15.0,Godot Freelancers,24.82042253521132,24.82042253521132,36.0
A,Development,Rust Developers,15.98,15.0,Erlang Developers & Programmers,24.82042253521132,24.82042253521132,2165.0
A,Development,Rust Developers,15.98,15.0,Solidity Freelancers,24.82042253521132,24.82042253521132,1357.0
A,Development,Rust Developers,15.98,15.0,Webassembly Freelancers,24.82042253521132,24.82042253521132,2370.0
A,Development,Rust Developers,15.98,15.0,Qt Developers,10.43,9.0,2331.0
A,Development,Rust Developers,15.98,15.0,EOS Freelancers,24.82042253521132,24.82042253521132,407.0
A,Development,Rust Developers,15.98,15.0,Blockchain Developers,24.82042253521132,24.82042253521132,2761.0
A,Development,Rust Developers,15.98,15.0,TRON Freelancers,24.82042253521132,24.82042253521132,2680.0
A,Development,Ruby on Rails Developers,274.16,37.0,Sinatra Framework Developers,24.82042253521132,24.82042253521132,2821.0
A,Development,Ruby on Rails Developers,274.16,37.0,RSpec Specialists,24.82042253521132,24.82042253521132,1115.0
A,Development,Ruby on Rails Developers,274.16,37.0,Spree Specialists,24.82042253521132,24.82042253521132,2003.0
A,Development,Ruby on Rails Developers,274.16,37.0,Capistrano Developers,24.82042253521132,24.82042253521132,3693.0
A,Development,Ruby on Rails Developers,274.16,37.0,Redmine Specialists,24.82042253521132,24.82042253521132,1477.0
A,Development,Ruby on Rails Developers,274.16,37.0,Sharetribe Specialists,24.82042253521132,24.82042253521132,4291.0
A,Development,Ruby on Rails Developers,274.16,37.0,Django Developers,64.69,31.0,600.0
A,Development,Ruby on Rails Developers,274.16,37.0,Heroku Specialists,24.82042253521132,24.82042253521132,608.0
A,Development,Ruby on Rails Developers,274.16,37.0,PostgreSQL Developers & DBA,24.82042253521132,24.82042253521132,2726.0
A,Development,Ruby on Rails Developers,274.16,37.0,PostgreSQL Programmers,24.82042253521132,24.82042253521132,3849.0
A,Development,Ruby on Rails Developers,274.16,37.0,Ruby Developers & Programmers,24.82042253521132,24.82042253521132,3249.0
A,Development,Ruby on Rails Developers,274.16,37.0,Marionette.js Developers,24.82042253521132,24.82042253521132,4749.0
A,Development,Ruby Developers,15.18,23.0,Spree Specialists,24.82042253521132,24.82042253521132,4589.0
A,Development,Ruby Developers,15.18,23.0,Sinatra Framework Developers,24.82042253521132,24.82042253521132,4372.0
A,Development,Ruby Developers,15.18,23.0,HAML Specialists,24.82042253521132,24.82042253521132,644.0
A,Development,Ruby Developers,15.18,23.0,Heroku Specialists,24.82042253521132,24.82042253521132,3424.0
A,Development,Ruby Developers,15.18,23.0,Ruby on Rails Developers,274.16,37.0,4382.0
A,Development,Ruby Developers,15.18,23.0,Redmine Specialists,24.82042253521132,24.82042253521132,4320.0
A,Development,Ruby Developers,15.18,23.0,Git Developers,24.82042253521132,4.0,3662.0
A,Development,Ruby Developers,15.18,23.0,AJAX Developers,24.82042253521132,11.0,470.0
A,Development,Ruby Developers,15.18,23.0,Scala Developers,17.13,27.0,803.0
A,Development,Ruby Developers,15.18,23.0,PostgreSQL Programmers,24.82042253521132,24.82042253521132,4812.0
A,Development,Ruby Developers,15.18,23.0,Django Developers,64.69,31.0,3193.0
A,Development,Ruby Developers,15.18,23.0,PostgreSQL Developers & DBA,24.82042253521132,24.82042253521132,4492.0
A,Development,React Native Developers,131.87,47.0,Flutter Developers,58.97,56.0,562.0
A,Development,React Native Developers,131.87,47.0,Firebase Specialists,24.82042253521132,24.82042253521132,1095.0
A,Development,React Native Developers,131.87,47.0,Node.js Developers & Programmers,24.82042253521132,24.82042253521132,660.0
A,Development,React Native Developers,131.87,47.0,iOS Developers,18.87,37.0,2846.0
A,Development,React Native Developers,131.87,47.0,Ionic Framework Developers,24.82042253521132,2.0,3201.0
A,Development,React Native Developers,131.87,47.0,Swift Developers,25.92,33.0,4728.0
A,Development,React Native Developers,131.87,47.0,Android App Developers,12.29,34.0,537.0
A,Development,React Native Developers,131.87,47.0,Mobile App Developers,51.97,24.0,1388.0
A,Development,React Native Developers,131.87,47.0,Gatsby Developers,31.73,46.0,57.0
A,Development,React Native Developers,131.87,47.0,React.js Developers,94.28,45.0,4109.0
A,Development,React Native Developers,131.87,47.0,Android Developers,7.18,31.0,1278.0
A,Development,React Native Developers,131.87,47.0,Objective-C Developers,24.82042253521132,5.0,3317.0
A,Development,Python Developers,14.26,45.0,Flask Developers & Programmers,24.82042253521132,24.82042253521132,2868.0
A,Development,Python Developers,14.26,45.0,Xero Developer,4.87,4.0,3212.0
A,Development,Python Developers,14.26,45.0,Machine Learning Experts,12.37,34.0,932.0
A,Development,Python Developers,14.26,45.0,C++ Programmers & Developers,24.82042253521132,24.82042253521132,3678.0
A,Development,Python Developers,14.26,45.0,AWS Developers,16.81,41.0,4212.0
A,Development,Python Developers,14.26,45.0,C# Developers & Programmers,24.82042253521132,24.82042253521132,4818.0
A,Development,Python Developers,14.26,45.0,Data Scrapers,13.71,37.0,3207.0
A,Development,Python Developers,14.26,45.0,Node.js Developers & Programmers,24.82042253521132,24.82042253521132,698.0
A,Development,Python Developers,14.26,45.0,Java Developers,13.29,36.0,101.0
A,Development,Python Developers,14.26,45.0,R Developers & Programmers,24.82042253521132,24.82042253521132,3347.0
A,Development,Python Developers,14.26,45.0,TensorFlow Developers,2.25,35.0,3665.0
A,Development,Python Developers,14.26,45.0,Django Developers,64.69,31.0,387.0
A,Development,MySQL Developers,25.5,18.0,jQuery Developers,5.68,4.0,1007.0
A,Development,MySQL Developers,25.5,18.0,MySQL Programmers,5.97,24.0,4995.0
A,Development,MySQL Developers,25.5,18.0,HTML5 Developers,24.82042253521132,17.0,4089.0
A,Development,MySQL Developers,25.5,18.0,PHP Developers,165.3,26.0,1795.0
A,Development,MySQL Developers,25.5,18.0,Xero Developer,4.87,4.0,98.0
A,Development,MySQL Developers,25.5,18.0,CSS3 Developers,24.82042253521132,6.0,3798.0
A,Development,MySQL Developers,25.5,18.0,Bootstrap Specialists,24.82042253521132,24.82042253521132,1226.0
A,Development,MySQL Developers,25.5,18.0,CSS Developers,29.91,33.0,2050.0
A,Development,MySQL Developers,25.5,18.0,Java Developers,13.29,36.0,1876.0
A,Development,MySQL Developers,25.5,18.0,HTML Developers,9.9,31.0,1000.0
A,Development,MySQL Developers,25.5,18.0,JavaScript Developers,53.18,35.0,3435.0
A,Development,MySQL Developers,25.5,18.0,SQL Developers,5.41,2.0,2912.0
A,Development,Mobile App Developers,51.97,24.0,Ionic Framework Developers,24.82042253521132,2.0,1448.0
A,Development,Mobile App Developers,51.97,24.0,React Native Developers,131.87,47.0,2708.0
A,Development,Mobile App Developers,51.97,24.0,iOS Developers,18.87,37.0,1077.0
A,Development,Mobile App Developers,51.97,24.0,Swift Developers,25.92,33.0,3969.0
A,Development,Mobile App Developers,51.97,24.0,Android App Developers,12.29,34.0,2993.0
A,Development,Mobile App Developers,51.97,24.0,Objective-C Developers,24.82042253521132,5.0,1318.0
A,Development,Mobile App Developers,51.97,24.0,Flutter Developers,58.97,56.0,2722.0
A,Development,Mobile App Developers,51.97,24.0,Android Developers,7.18,31.0,1634.0
A,Development,Mobile App Developers,51.97,24.0,Firebase Specialists,24.82042253521132,24.82042253521132,2026.0
A,Development,Mobile App Developers,51.97,24.0,iPad App Developers,36.57,7.0,4946.0
A,Development,Mobile App Developers,51.97,24.0,Apple Xcode Specialists,24.82042253521132,24.82042253521132,799.0
A,Development,Mobile App Developers,51.97,24.0,Java Developers,13.29,36.0,3033.0
A,Development,Magento Developers,63.4,33.0,Ecommerce Consultants,24.12,34.0,3541.0
A,Development,Magento Developers,63.4,33.0,OpenCart Developers,44.17,40.0,1636.0
A,Development,Magento Developers,63.4,33.0,Art Deco Freelancers,24.82042253521132,24.82042253521132,509.0
A,Development,Magento Developers,63.4,33.0,Magento 2 Developers,51.12,20.0,4676.0
A,Development,Magento Developers,63.4,33.0,Shopify Developers,18.7,59.0,3177.0
A,Development,Magento Developers,63.4,33.0,Ecommerce Web Designer,34.14,17.0,62.0
A,Development,Magento Developers,63.4,33.0,SquareSpace Developers,42.47,49.0,1425.0
A,Development,Magento Developers,63.4,33.0,PrestaShop Developers,18.08,67.0,2068.0
A,Development,Magento Developers,63.4,33.0,Woocommerce Developers,65.48,38.0,101.0
A,Development,Magento Developers,63.4,33.0,MySQL Developers,25.5,18.0,2737.0
A,Development,Magento Developers,63.4,33.0,Shopify Templates Specialists,24.82042253521132,24.82042253521132,577.0
A,Development,Magento Developers,63.4,33.0,BigCommerce Developers,53.54,45.0,3807.0
A,Development,Machine Learning Engineers,17.02,44.0,Computer Vision Engineers,24.56,23.0,4364.0
A,Development,Machine Learning Engineers,17.02,44.0,AI Freelancers,30.63,29.0,4306.0
A,Development,Machine Learning Engineers,17.02,44.0,TensorFlow Developers,2.25,35.0,252.0
A,Development,Machine Learning Engineers,17.02,44.0,PyTorch Freelancers,24.82042253521132,24.82042253521132,1823.0
A,Development,Machine Learning Engineers,17.02,44.0,Python Developers,14.26,45.0,2353.0
A,Development,Machine Learning Engineers,17.02,44.0,Artificial Intelligence Engineers,15.83,41.0,2981.0
A,Development,Machine Learning Engineers,17.02,44.0,Artificial Neural Networks Experts,24.82042253521132,24.82042253521132,2488.0
A,Development,Machine Learning Engineers,17.02,44.0,Natural Language Processing Specialists,24.82042253521132,0.0,2936.0
A,Development,Machine Learning Engineers,17.02,44.0,Keras Freelancers,24.82042253521132,24.82042253521132,1607.0
A,Development,Machine Learning Engineers,17.02,44.0,Deep Neural Networks Specialists,24.82042253521132,24.82042253521132,1805.0
A,Development,Machine Learning Engineers,17.02,44.0,Deep Learning Experts,8.87,19.0,498.0
A,Development,Machine Learning Engineers,17.02,44.0,Data Scientists,16.12,39.0,1885.0
A,Development,HTML5 Developers,22.296325668700405,17.0,CSS Developers,29.91,33.0,1692.0
A,Development,HTML5 Developers,22.296325668700405,17.0,WordPress Developers,46.47,32.0,3214.0
A,Development,HTML5 Developers,22.296325668700405,17.0,AngularJS Developers,177.2,48.0,78.0
A,Development,HTML5 Developers,22.296325668700405,17.0,HTML Developers,9.9,31.0,1003.0
A,Development,HTML5 Developers,22.296325668700405,17.0,JavaScript Developers,53.18,35.0,4335.0
A,Development,HTML5 Developers,22.296325668700405,17.0,Bootstrap Specialists,24.82042253521132,24.82042253521132,523.0
A,Development,HTML5 Developers,22.296325668700405,17.0,PHP Developers,165.3,26.0,1572.0
A,Development,HTML5 Developers,22.296325668700405,17.0,Web Designers,22.33,36.0,3146.0
A,Development,HTML5 Developers,22.296325668700405,17.0,MySQL Developers,25.5,18.0,345.0
A,Development,HTML5 Developers,22.296325668700405,17.0,CSS3 Developers,24.82042253521132,6.0,3317.0
A,Development,HTML5 Developers,22.296325668700405,17.0,React.js Developers,94.28,45.0,4662.0
A,Development,HTML5 Developers,22.296325668700405,17.0,jQuery Developers,5.68,4.0,1261.0
A,Development,Golang Developers,57.02,54.0,CI/CD Freelancers,24.82042253521132,24.82042253521132,1645.0
A,Development,Golang Developers,57.02,54.0,Docker Developers,34.26,15.0,684.0
A,Development,Golang Developers,57.02,54.0,Elixir Developers,47.83,34.0,4827.0
A,Development,Golang Developers,57.02,54.0,Google Cloud Platform Developers,24.82042253521132,21.0,694.0
A,Development,Golang Developers,57.02,54.0,Websockets Freelancers,24.82042253521132,24.82042253521132,155.0
A,Development,Golang Developers,57.02,54.0,PostgreSQL Programmers,24.82042253521132,24.82042253521132,770.0
A,Development,Golang Developers,57.02,54.0,Backend Rest API Freelancers,24.82042253521132,24.82042253521132,1192.0
A,Development,Golang Developers,57.02,54.0,Web Services Specialists,24.82042253521132,24.82042253521132,4003.0
A,Development,Golang Developers,57.02,54.0,AWS Lambda Specialists,24.82042253521132,24.82042253521132,4872.0
A,Development,Golang Developers,57.02,54.0,Redis Developers,30.36,13.0,3935.0
A,Development,Golang Developers,57.02,54.0,PostgreSQL Developers & DBA,24.82042253521132,24.82042253521132,1054.0
A,Development,Golang Developers,57.02,54.0,Kubernetes Developers,17.51,19.0,2141.0
A,Development,Game Developers,12.18,33.0,Virtual Reality Developers,11.57,36.0,1201.0
A,Development,Game Developers,12.18,33.0,Unreal Engine Developers,35.42,50.0,2879.0
A,Development,Game Developers,12.18,33.0,Cocos2d Developers,24.82042253521132,14.0,1383.0
A,Development,Game Developers,12.18,33.0,Facebook Games Developers,3.48,10.0,937.0
A,Development,Game Developers,12.18,33.0,Mobile App Developers,51.97,24.0,141.0
A,Development,Game Developers,12.18,33.0,iOS Developers,18.87,37.0,3157.0
A,Development,Game Developers,12.18,33.0,Mobile Game Developers,16.18,28.0,2042.0
A,Development,Game Developers,12.18,33.0,C# Developers & Programmers,24.82042253521132,24.82042253521132,2887.0
A,Development,Game Developers,12.18,33.0,Unity Developers,23.34,39.0,1779.0
A,Development,Game Developers,12.18,33.0,Android App Developers,12.29,34.0,668.0
A,Development,Game Developers,12.18,33.0,Game Designers,8.0,30.0,4719.0
A,Development,Game Developers,12.18,33.0,iPad App Developers,36.57,7.0,601.0
A,Development,Full Stack Developers,19.51,49.0,Seologies Specialists,24.82042253521132,24.82042253521132,203.0
A,Development,Full Stack Developers,19.51,49.0,Affinity Designer Freelancers,24.82042253521132,24.82042253521132,3865.0
A,Development,Full Stack Developers,19.51,49.0,phpMyDirectory Specialists,24.82042253521132,24.82042253521132,107.0
A,Development,Full Stack Developers,19.51,49.0,Database Administrators,6.77,20.0,750.0
A,Development,Full Stack Developers,19.51,49.0,Amazon Relational Database Service Specialists,24.82042253521132,24.82042253521132,2488.0
A,Development,Full Stack Developers,19.51,49.0,Phalcon Specialists,24.82042253521132,24.82042253521132,3415.0
A,Development,Full Stack Developers,19.51,49.0,XAML Specialists,24.82042253521132,24.82042253521132,3905.0
A,Development,Full Stack Developers,19.51,49.0,GUI Designers,24.82042253521132,12.0,728.0
A,Development,Full Stack Developers,19.51,49.0,Nest.js Freelancers,24.82042253521132,24.82042253521132,1771.0
A,Development,Full Stack Developers,19.51,49.0,Microsoft SQL Server Service Broker Specialists,24.82042253521132,24.82042253521132,4607.0
A,Development,Full Stack Developers,19.51,49.0,FFmpeg Specialists,24.82042253521132,24.82042253521132,268.0
A,Development,Full Stack Developers,19.51,49.0,phpMyAdmin Specialists,24.82042253521132,24.82042253521132,3894.0
A,Development,Front End Developers,19.17,37.0,Backend Rest API Freelancers,24.82042253521132,24.82042253521132,3440.0
A,Development,Front End Developers,19.17,37.0,React Native Developers,131.87,47.0,4484.0
A,Development,Front End Developers,19.17,37.0,Content Management System Specialists,24.82042253521132,24.82042253521132,2892.0
A,Development,Front End Developers,19.17,37.0,CMS Development Specialists,24.82042253521132,24.82042253521132,4318.0
A,Development,Front End Developers,19.17,37.0,Firebase Specialists,24.82042253521132,24.82042253521132,211.0
A,Development,Front End Developers,19.17,37.0,PSD to HTML Converters,24.82042253521132,24.82042253521132,4785.0
A,Development,Front End Developers,19.17,37.0,SaaS Developers,40.87,21.0,1491.0
A,Development,Front End Developers,19.17,37.0,GraphQL Developers,27.58,13.0,2219.0
A,Development,Front End Developers,19.17,37.0,Chart.js Developers,24.82042253521132,0.0,4839.0
A,Development,Front End Developers,19.17,37.0,HTML5 Canvas Developers,24.82042253521132,24.82042253521132,4873.0
A,Development,Front End Developers,19.17,37.0,Redux for JavaScript Specialists,24.82042253521132,24.82042253521132,1870.0
A,Development,Front End Developers,19.17,37.0,Django Developers,64.69,31.0,2823.0
A,Development,eCommerce Developers,26.64,23.0,phpMyDirectory Specialists,24.82042253521132,24.82042253521132,91.0
A,Development,eCommerce Developers,26.64,23.0,FFmpeg Specialists,24.82042253521132,24.82042253521132,4732.0
A,Development,eCommerce Developers,26.64,23.0,Seologies Specialists,24.82042253521132,24.82042253521132,4291.0
A,Development,eCommerce Developers,26.64,23.0,Affinity Designer Freelancers,24.82042253521132,24.82042253521132,3361.0
A,Development,eCommerce Developers,26.64,23.0,Amazon Relational Database Service Specialists,24.82042253521132,24.82042253521132,2445.0
A,Development,eCommerce Developers,26.64,23.0,XAML Specialists,24.82042253521132,24.82042253521132,2562.0
A,Development,eCommerce Developers,26.64,23.0,Microsoft SQL Server Service Broker Specialists,24.82042253521132,24.82042253521132,4700.0
A,Development,eCommerce Developers,26.64,23.0,Database Administrators,6.77,20.0,737.0
A,Development,eCommerce Developers,26.64,23.0,GUI Designers,24.82042253521132,12.0,1235.0
A,Development,eCommerce Developers,26.64,23.0,phpMyAdmin Specialists,24.82042253521132,24.82042253521132,4088.0
A,Development,eCommerce Developers,26.64,23.0,Nest.js Freelancers,24.82042253521132,24.82042253521132,3471.0
A,Development,eCommerce Developers,26.64,23.0,Phalcon Specialists,24.82042253521132,24.82042253521132,1159.0
A,Development,DevOps Engineers,21.04,35.0,Amazon S3 Specialists,24.82042253521132,24.82042253521132,632.0
A,Development,DevOps Engineers,21.04,35.0,AWS Developers,16.81,41.0,1725.0
A,Development,DevOps Engineers,21.04,35.0,Kubernetes Developers,17.51,19.0,686.0
A,Development,DevOps Engineers,21.04,35.0,Amazon EC2 Specialists,24.82042253521132,24.82042253521132,2500.0
A,Development,DevOps Engineers,21.04,35.0,Docker Developers,34.26,15.0,1104.0
A,Development,DevOps Engineers,21.04,35.0,Nginx Developers,24.82042253521132,12.0,733.0
A,Development,DevOps Engineers,21.04,35.0,Jenkins Specialists,24.82042253521132,24.82042253521132,869.0
A,Development,DevOps Engineers,21.04,35.0,Ansible Specialists,24.82042253521132,24.82042253521132,186.0
A,Development,DevOps Engineers,21.04,35.0,Linux System Administrators,4.88,32.0,2119.0
A,Development,DevOps Engineers,21.04,35.0,Git Developers,24.82042253521132,4.0,2278.0
A,Development,DevOps Engineers,21.04,35.0,Linux Developers,14.96,8.0,3600.0
A,Development,DevOps Engineers,21.04,35.0,Microsoft Windows Azure Developers,24.82042253521132,24.82042253521132,3579.0
A,Development,Developers,5.88,20.0,Requirement Management Specialists,24.82042253521132,24.82042253521132,645.0
A,Development,Developers,5.88,20.0,Crestron Programming Freelancers,24.82042253521132,24.82042253521132,3811.0
